"Timestamp","1)Do you own a mobile phone?","2)What brand of smartphone do you use?","3) How long have you owned your smartphone       (Years)","4)For which of the following activities do you ever use your mobile phone for? (Check all that apply)","5)Which of these is your favorite feature?","6)How much would you be ready to spend for your mobile phone","7)What is your favorite OS?","8)What is the most like  screen size(Inches)?","9)What is the most like  screen type?","10)What is most like  build materials used in a Smartphone ?","11)What will be your next mobile phone?"
"2018/08/27 8:47:12 am GMT+5:30","Yes","Huawei","3-6","Phone calls;Text message;Shopping;E-mailing;social networking;Navigating with maps (e.g., finding locations);Entertainment","Camera;Gaming;Text messaging","30000-40000","Android","5-6","Notch","Metal","Huawei P10"
"2018/08/30 12:05:25 pm GMT+5:30","Yes","SAMSUNG","12<","Phone calls;Text message;Shopping;Banking;E-mailing;social networking;Reading books;Navigating with maps (e.g., finding locations);Entertainment","Camera;Internet Browsing/applications;Gaming;Text messaging","50000-100000","Android","5-6","Notch","Metal;Glass","Samsung s10"
"2018/08/30 12:07:46 pm GMT+5:30","Yes","Sony","0-3","Phone calls;Text message;Shopping;Banking;E-mailing;social networking;Reading books;Navigating with maps (e.g., finding locations);Entertainment;Use as a brick","Camera;Internet Browsing/applications;Gaming;Text messaging","0-10000","Ios","6-7","Notch","Metal","Apple XX"
"2018/08/30 12:08:52 pm GMT+5:30","Yes","","3-6","Phone calls;Text message;social networking;Reading books;Navigating with maps (e.g., finding locations);Entertainment","Camera;Internet Browsing/applications;Text messaging","20000-30000","Android","5-6","Bezel-less","Metal","Apple x"
"2018/08/30 12:08:53 pm GMT+5:30","Yes","SAMSUNG","9-12","Phone calls;Text message;Banking;E-mailing;social networking;Navigating with maps (e.g., finding locations);Entertainment","Camera;Internet Browsing/applications","100000<","Android","5-6","Bezel-less","Metal;Glass","Galaxy note 10"
"2018/08/30 12:09:15 pm GMT+5:30","Yes","SAMSUNG","3-6","Phone calls;Text message;Shopping;Banking;E-mailing;social networking;Navigating with maps (e.g., finding locations);Entertainment","Camera;Internet Browsing/applications;Gaming","50000-100000","Android","5-6","Super amoled","Metal","Samsung s9+"
"2018/08/30 12:09:33 pm GMT+5:30","Yes","SONY","3-6","Phone calls;Text message;social networking;Entertainment","Camera;Internet Browsing/applications;Gaming;Text messaging","50000-100000","Android","5-6","Notch","Metal;Glass","Latest Sony phone."
"2018/08/30 12:12:11 pm GMT+5:30","Yes","APPLE","0-3","Phone calls;Text message;Shopping;Banking;E-mailing;social networking;Reading books;Navigating with maps (e.g., finding locations);Entertainment","Camera;Internet Browsing/applications;Gaming;Text messaging","50000-100000","Android;Ios","5-6","Bezel-less","Metal;Glass","One plus 6"
"2018/08/30 12:15:22 pm GMT+5:30","Yes","SAMSUNG","3-6","Phone calls;Text message;Shopping;Banking;E-mailing;social networking;Reading books;Navigating with maps (e.g., finding locations);Entertainment","Camera;Internet Browsing/applications;Gaming;Text messaging","50000-100000","Android;Ios","5-6","Notch;Bezel-less","Metal;Glass","Xiomi pocophone f1"
"2018/08/30 12:17:29 pm GMT+5:30","Yes","NOKIA","6-9","Phone calls;Text message;Shopping;Banking;E-mailing;social networking;Navigating with maps (e.g., finding locations);Entertainment","Camera;Gaming","50000-100000","Android","0-5","Bezel-less","Metal;Glass","Note 8"
"2018/08/30 1:05:41 pm GMT+5:30","Yes","SAMSUNG","3-6","Phone calls;Text message;Shopping;Banking;social networking;Navigating with maps (e.g., finding locations);Entertainment","Camera;Internet Browsing/applications;Gaming;Text messaging","30000-40000","Android","0-5","Bezel-less","Metal;Glass","iphone 7"
"2018/08/30 1:40:21 pm GMT+5:30","Yes","Huawei","6-9","Phone calls;Text message;Shopping;E-mailing;social networking;Reading books;Navigating with maps (e.g., finding locations);Entertainment","Camera;Internet Browsing/applications","10000-20000","Android","5-6","Notch","Metal","Huwaei "
"2018/08/30 1:53:43 pm GMT+5:30","Yes","APPLE","0-3","Phone calls;Text message;Shopping;E-mailing;social networking;Navigating with maps (e.g., finding locations);Entertainment","Camera;Internet Browsing/applications;Text messaging","30000-40000","Ios","6-7","","",""
"2018/08/30 2:07:30 pm GMT+5:30","Yes","Huawei","0-3","Phone calls;Text message;Shopping;Banking;E-mailing;social networking;Reading books;Navigating with maps (e.g., finding locations);Entertainment","Internet Browsing/applications","20000-30000","Android","6-7","Bezel-less","Glass","iphone 6s"
"2018/08/30 2:12:42 pm GMT+5:30","Yes","SAMSUNG","0-3","Phone calls;Text message;Shopping;Banking;E-mailing;social networking;Reading books;Navigating with maps (e.g., finding locations);Entertainment","Camera;Internet Browsing/applications;Gaming;Text messaging","","Android","5-6","Bezel-less","Metal;Glass","Pixel2"
"2018/08/30 2:17:03 pm GMT+5:30","Yes","APPLE","6-9","Phone calls;Banking;social networking","Internet Browsing/applications","50000-100000","Ios","6-7","","Metal","iPhone X "
"2018/08/30 2:27:56 pm GMT+5:30","Yes","APPLE","3-6","Phone calls;Text message;Banking;E-mailing;social networking;Navigating with maps (e.g., finding locations)","Internet Browsing/applications","100000<","Ios","5-6","Bezel-less","Metal","I phone mext version"
"2018/08/30 2:31:24 pm GMT+5:30","Yes","SAMSUNG","0-3","Phone calls;Text message;Shopping;Banking;E-mailing;social networking;Navigating with maps (e.g., finding locations);Entertainment","Camera;Gaming","40000-50000","Android;Ios","5-6","Notch;Bezel-less","Metal;Glass","Google pixel 2 "
"2018/08/30 3:01:02 pm GMT+5:30","Yes","Huawei","0-3","Phone calls;Text message;Shopping;Banking;E-mailing;social networking;Navigating with maps (e.g., finding locations);Entertainment","Camera;Internet Browsing/applications","30000-40000","Android","5-6","Notch","Metal","Sony "
"2018/08/30 3:44:30 pm GMT+5:30","Yes","Lenovo","3-6","Phone calls;Text message;social networking;Entertainment","Whatsapp ","10000-20000","Android","5-6","Notch","Glass","Note 9"
"2018/08/30 4:30:48 pm GMT+5:30","Yes","APPLE","3-6","Phone calls;Text message;Shopping;E-mailing;social networking;Reading books;Navigating with maps (e.g., finding locations)","Camera;Internet Browsing/applications","40000-50000","Ios","6-7","Notch","Metal","iPhone x"
"2018/08/30 11:30:51 pm GMT+5:30","Yes","Huawei","0-3","Phone calls;Text message;Shopping;Banking;E-mailing;social networking;Reading books;Navigating with maps (e.g., finding locations);Entertainment","Internet Browsing/applications;Gaming","30000-40000","Android;Ios","0-5","Notch","Metal;Glass","I phone"
"2018/08/31 12:08:04 am GMT+5:30","Yes","SAMSUNG","9-12","Phone calls;Text message;Shopping;Banking;E-mailing;social networking;Reading books;Navigating with maps (e.g., finding locations);Entertainment","Internet Browsing/applications","50000-100000","Android","5-6","Bezel-less","Metal",""
"2018/08/31 1:58:47 am GMT+5:30","Yes","APPLE","","Phone calls;Text message;Shopping;E-mailing;social networking;Navigating with maps (e.g., finding locations);Entertainment","Camera;Internet Browsing/applications;Text messaging","50000-100000","Android","5-6","Bezel-less","Glass","Iphone 7 plus"
"2018/09/01 10:00:19 pm GMT+5:30","Yes","Sony","3-6","Phone calls;Text message;Banking;E-mailing;Reading books;Navigating with maps (e.g., finding locations);Entertainment","Internet Browsing/applications;Gaming;Text messaging","40000-50000","Android","6-7","Notch","Metal","Iphone x"
"2018/09/04 11:37:35 am GMT+5:30","Yes","APPLE","3-6","Phone calls;Text message;Banking","Camera;Text messaging","0-10000","Ios","0-5","Bezel-less","Glass","iphone x"
"2018/09/04 12:02:41 pm GMT+5:30","No","Huawei","0-3","Phone calls;Text message;Shopping;E-mailing;social networking;Reading books;Navigating with maps (e.g., finding locations);Entertainment","Camera;Internet Browsing/applications;Gaming;Text messaging","20000-30000","Android;Ios","5-6","Bezel-less","Glass",""
"2018/09/04 12:08:36 pm GMT+5:30","Yes","Huawei","0-3","Phone calls;Text message;Shopping;E-mailing;social networking;Navigating with maps (e.g., finding locations);Entertainment","Gaming","30000-40000","Android;Ios","5-6","Notch","Metal;Plastic","One plus 6"
"2018/09/04 12:10:53 pm GMT+5:30","Yes","APPLE","0-3","Phone calls;Text message;Shopping;Banking;E-mailing;social networking;Navigating with maps (e.g., finding locations);Entertainment","Internet Browsing/applications","20000-30000","Ios","5-6","Notch","Glass","Next iphone"
"2018/09/04 12:39:46 pm GMT+5:30","Yes","sony","0-3","Phone calls;Text message;Shopping;E-mailing;social networking;Navigating with maps (e.g., finding locations);Entertainment","Camera","20000-30000","Android","5-6","Notch","Metal","s8 or s8+"
"2018/09/04 12:47:37 pm GMT+5:30","Yes","APPLE","0-3","Phone calls;Text message;E-mailing;social networking;Reading books;Navigating with maps (e.g., finding locations);Entertainment","Camera","40000-50000","Ios","5-6","Notch","Metal","Iphone "
"2018/09/04 1:55:57 pm GMT+5:30","Yes","SAMSUNG","0-3","Phone calls;Text message;Shopping;Banking;E-mailing;social networking;Reading books;Navigating with maps (e.g., finding locations);Entertainment","Camera;Internet Browsing/applications","100000<","Android","6-7","Bezel-less","Metal",""
"2018/09/04 3:07:30 pm GMT+5:30","Yes","Huawei","0-3","Phone calls;Text message;Shopping;Banking;E-mailing;social networking;Navigating with maps (e.g., finding locations);Entertainment","Camera;Internet Browsing/applications;Text messaging","30000-40000","Android","5-6","Notch;Bezel-less","Metal;Glass","LG"
"2018/09/04 6:10:12 pm GMT+5:30","Yes","Huawei","0-3","Phone calls;social networking;Entertainment","Internet Browsing/applications","","Ios","0-5","Bezel-less","Plastic","Iphone x"
"2018/09/04 6:15:59 pm GMT+5:30","Yes","APPLE","","Phone calls;Text message;social networking","Camera;Internet Browsing/applications","40000-50000","Ios","5-6","Notch","Metal","Apple 7 +"